0_x,0_y,0_z,0_vis,1_x,1_y,1_z,1_vis,2_x,2_y,2_z,2_vis,3_x,3_y,3_z,3_vis,4_x,4_y,4_z,4_vis,5_x,5_y,5_z,5_vis,6_x,6_y,6_z,6_vis,7_x,7_y,7_z,7_vis,8_x,8_y,8_z,8_vis,9_x,9_y,9_z,9_vis,10_x,10_y,10_z,10_vis,11_x,11_y,11_z,11_vis,12_x,12_y,12_z,12_vis,13_x,13_y,13_z,13_vis,14_x,14_y,14_z,14_vis,15_x,15_y,15_z,15_vis,16_x,16_y,16_z,16_vis,17_x,17_y,17_z,17_vis,18_x,18_y,18_z,18_vis,19_x,19_y,19_z,19_vis,20_x,20_y,20_z,20_vis
-0.625927209854126,-0.3764290511608124,0.9170389771461487,1.0,-0.6548599004745483,-0.34798452258110046,0.8835296034812927,1.0,-0.676902174949646,-0.3476485013961792,0.8833082318305969,0.9999518394470215,-0.6994582414627075,-0.3471914827823639,0.8835246562957764,1.0,-0.5965701341629028,-0.3495063781738281,0.8340129256248474,1.0,-0.5745725035667419,-0.34961989521980286,0.8351540565490723,0.9999582767486572,-0.5524585843086243,-0.3499000072479248,0.8364713191986084,1.0,-0.7325803637504578,-0.36400097608566284,0.5667464733123779,0.9999604225158691,-0.5320380926132202,-0.36602503061294556,0.4410421848297119,0.9999417066574097,-0.6693660020828247,-0.4073260426521301,0.7994868755340576,0.9999904632568359,-0.5882789492607117,-0.4083613455295563,0.7109992504119873,0.999962329864502,-0.8816414475440979,-0.5220412611961365,0.3769014775753021,0.9998476505279541,-0.4203120768070221,-0.510843813419342,0.27783432602882385,0.999642014503479,-0.930814266204834,-0.7462984919548035,0.3333306908607483,0.969340443611145,-0.25080832839012146,-0.6656734347343445,0.9384067058563232,0.9989404082298279,-0.9461191296577454,-0.9549860954284668,0.5231976509094238,0.7973249554634094,-0.48738428950309753,-0.5159812569618225,1.525184988975525,0.9978231191635132,-0.9775021076202393,-1.0181777477264404,0.5625654458999634,0.6518505811691284,-0.5568802356719971,-0.48159801959991455,1.723355770111084,0.9889316558837891,-0.9376155138015747,-1.0185102224349976,0.6356076002120972,0.6967101693153381,-0.5724425911903381,-0.457195520401001,1.7009985446929932,0.9882540702819824
-0.6259301900863647,-0.37591081857681274,1.0200111865997314,1.0,-0.6566095948219299,-0.34782838821411133,0.9726163744926453,1.0,-0.6789426207542419,-0.34764716029167175,0.9726300835609436,0.9999678134918213,-0.7017831206321716,-0.3470984697341919,0.9729936718940735,1.0,-0.5979089736938477,-0.34882622957229614,0.9383476376533508,1.0,-0.575920045375824,-0.3487279415130615,0.9387755393981934,0.9999591112136841,-0.5538017153739929,-0.34879270195961,0.9396774768829346,1.0,-0.7368838787078857,-0.36402204632759094,0.6260638236999512,0.9999723434448242,-0.5338854789733887,-0.3649507761001587,0.5015468597412109,0.9999349117279053,-0.6697317361831665,-0.407241553068161,0.8891386985778809,0.9999920129776001,-0.5887669920921326,-0.4076123833656311,0.8300904631614685,0.9999614953994751,-0.8828510046005249,-0.5236735939979553,0.38280296325683594,0.9999170303344727,-0.41785815358161926,-0.5107380747795105,0.30193108320236206,0.9995916485786438,-0.9329785108566284,-0.7468269467353821,0.34821900725364685,0.9625244140625,-0.24951975047588348,-0.6706783771514893,0.989244818687439,0.9977293610572815,-0.9469019174575806,-0.9550090432167053,0.5436670184135437,0.8187118172645569,-0.4620891511440277,-0.5160837173461914,1.5316956043243408,0.9972501397132874,-0.9776812195777893,-1.018126130104065,0.5779802799224854,0.6724473834037781,-0.5324233770370483,-0.4815002381801605,1.7777981758117676,0.9877362847328186,-0.9377695322036743,-1.0185496807098389,0.659872829914093,0.7193071246147156,-0.5434472560882568,-0.45513951778411865,1.7767105102539062,0.9874314069747925
-0.6271095871925354,-0.37610751390457153,1.1952582597732544,1.0,-0.6581833362579346,-0.3466448187828064,1.1422920227050781,1.0,-0.6808485388755798,-0.34632617235183716,1.142276406288147,0.999995231628418,-0.7040302753448486,-0.34574994444847107,1.1425293684005737,1.0,-0.5984726548194885,-0.3478640615940094,1.1242409944534302,1.0,-0.5761200189590454,-0.3477719724178314,1.1245379447937012,0.9999932050704956,-0.5538526773452759,-0.347854882478714,1.1255372762680054,1.0,-0.738262951374054,-0.36171743273735046,0.7628443241119385,0.9999960660934448,-0.5345613956451416,-0.36278536915779114,0.6629310846328735,0.999987006187439,-0.6710234880447388,-0.4067481458187103,1.0472782850265503,0.9999977350234985,-0.589002788066864,-0.4073801338672638,1.0124222040176392,0.9999877214431763,-0.8837615847587585,-0.5213359594345093,0.4985227584838867,0.9999721050262451,-0.4176420569419861,-0.5076888203620911,0.4472273290157318,0.9996631145477295,-0.9385766386985779,-0.7463579177856445,0.3835403323173523,0.9543741345405579,-0.24797362089157104,-0.6739028096199036,0.9939485788345337,0.995399534702301,-0.9502362012863159,-0.9526405930519104,0.5506161451339722,0.785053551197052,-0.44291943311691284,-0.5169876217842102,1.7525830268859863,0.9946670532226562,-0.979370653629303,-1.0132615566253662,0.5818547606468201,0.6016373634338379,-0.509576141834259,-0.48169803619384766,1.9355298280715942,0.9772524237632751,-0.9427517652511597,-1.01533842086792,0.6851112246513367,0.6480130553245544,-0.5183881521224976,-0.4532963037490845,1.892755389213562,0.9760187864303589
-0.6319199204444885,-0.3755528926849365,1.157066822052002,1.0,-0.662589430809021,-0.34608194231987,1.0952882766723633,1.0,-0.684969425201416,-0.3457794487476349,1.095293402671814,0.9999983310699463,-0.7078462243080139,-0.34527820348739624,1.095473289489746,1.0,-0.6024812459945679,-0.34726834297180176,1.0838820934295654,1.0,-0.5796321630477905,-0.34715160727500916,1.084308385848999,0.9999983310699463,-0.5568015575408936,-0.3471979796886444,1.085453748703003,1.0,-0.7390308976173401,-0.3612997531890869,0.6937133073806763,0.9999985694885254,-0.5361820459365845,-0.36200594902038574,0.6133852601051331,0.9999969005584717,-0.6742437481880188,-0.40587371587753296,1.0008584260940552,0.9999991655349731,-0.5914220213890076,-0.4063657522201538,0.9749281406402588,0.9999959468841553,-0.8836432695388794,-0.5217522382736206,0.43610817193984985,0.9999624490737915,-0.41809147596359253,-0.5066627860069275,0.3986096680164337,0.99982088804245,-0.9385339617729187,-0.7481433749198914,0.3273162543773651,0.9715144038200378,-0.24757404625415802,-0.6740347146987915,0.981087863445282,0.9976744055747986,-0.9513412714004517,-0.9550122022628784,0.5403178930282593,0.7923848628997803,-0.43014004826545715,-0.5189509391784668,1.7565029859542847,0.9969443678855896,-0.980337917804718,-1.0150935649871826,0.5683070421218872,0.613034725189209,-0.49240803718566895,-0.4846664071083069,1.9341000318527222,0.9867957830429077,-0.9454598426818848,-1.0175328254699707,0.6677902340888977,0.6643526554107666,-0.5021699666976929,-0.45652151107788086,1.8824496269226074,0.9862914681434631
-0.6409067511558533,-0.3749640882015228,1.110451579093933,1.0,-0.6656723618507385,-0.3452902138233185,1.0447938442230225,1.0,-0.6870934367179871,-0.34432655572891235,1.0447936058044434,0.9999974966049194,-0.7090985178947449,-0.3431915044784546,1.0449458360671997,1.0,-0.6067558526992798,-0.348214715719223,1.0402171611785889,1.0,-0.5840378403663635,-0.34872254729270935,1.040706992149353,0.9999977350234985,-0.5612896084785461,-0.34933483600616455,1.0419931411743164,1.0,-0.7394039034843445,-0.35892021656036377,0.6443630456924438,0.9999979734420776,-0.5367560386657715,-0.3647812604904175,0.5883752703666687,0.9999949932098389,-0.6818408370018005,-0.40427032113075256,0.9540898203849792,0.9999983310699463,-0.6017399430274963,-0.4073326587677002,0.9363484978675842,0.9999926090240479,-0.8825493454933167,-0.5227869153022766,0.4085821807384491,0.999916672706604,-0.4198106825351715,-0.5102578401565552,0.38959839940071106,0.9997901320457458,-0.9375045895576477,-0.748410701751709,0.24447599053382874,0.9483616948127747,-0.2471335530281067,-0.6729732751846313,1.0184690952301025,0.9976803064346313,-0.9524838328361511,-0.9532199501991272,0.5164035558700562,0.7177661657333374,-0.41940388083457947,-0.5200560688972473,1.8122189044952393,0.9959386587142944,-0.9799996018409729,-1.0116910934448242,0.5561391115188599,0.5254446864128113,-0.4733227789402008,-0.48396995663642883,1.9938980340957642,0.9803435802459717,-0.9478199481964111,-1.0136250257492065,0.6565813422203064,0.5773537755012512,-0.4865943193435669,-0.4586355984210968,1.9399524927139282,0.9787755012512207
